1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 8A00000032B5FB21
Is Mission Active?  true
Mission Start:  Tue Jun 17 13:01:00 CDT 2014
Sample Rate:  Every 120 minute(s)
Number of Mission Samples:  1668
Total Samples:  3420
Roll Over Enabled?  true
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
10/3/14 1:01:00 PM,C,19.5
10/3/14 3:01:00 PM,C,20.5
10/3/14 5:01:00 PM,C,19.5
10/3/14 7:01:00 PM,C,18
10/3/14 9:01:00 PM,C,16.5
10/3/14 11:01:00 PM,C,15.5
10/4/14 1:01:00 AM,C,14.5
10/4/14 3:01:00 AM,C,14
10/4/14 5:01:00 AM,C,13.5
10/4/14 7:01:00 AM,C,13.5
10/4/14 9:01:00 AM,C,13.5
10/4/14 11:01:00 AM,C,16
10/4/14 1:01:00 PM,C,18
10/4/14 3:01:00 PM,C,19.5
10/4/14 5:01:00 PM,C,19
10/4/14 7:01:00 PM,C,18
10/4/14 9:01:00 PM,C,16.5
10/4/14 11:01:00 PM,C,16
10/5/14 1:01:00 AM,C,15.5
10/5/14 3:01:00 AM,C,15
10/5/14 5:01:00 AM,C,15
10/5/14 7:01:00 AM,C,14.5
10/5/14 9:01:00 AM,C,15
10/5/14 11:01:00 AM,C,16.5
10/5/14 1:01:00 PM,C,19
10/5/14 3:01:00 PM,C,21.5
10/5/14 5:01:00 PM,C,21.5
10/5/14 7:01:00 PM,C,20.5
10/5/14 9:01:00 PM,C,19.5
10/5/14 11:01:00 PM,C,19
10/6/14 1:01:00 AM,C,16
10/6/14 3:01:00 AM,C,17
10/6/14 5:01:00 AM,C,17
10/6/14 7:01:00 AM,C,17
10/6/14 9:01:00 AM,C,17
10/6/14 11:01:00 AM,C,18.5
10/6/14 1:01:00 PM,C,20
10/6/14 3:01:00 PM,C,20.5
10/6/14 5:01:00 PM,C,20.5
10/6/14 7:01:00 PM,C,20
10/6/14 9:01:00 PM,C,19.5
10/6/14 11:01:00 PM,C,19
10/7/14 1:01:00 AM,C,18.5
10/7/14 3:01:00 AM,C,18.5
10/7/14 5:01:00 AM,C,18
10/7/14 7:01:00 AM,C,18
10/7/14 9:01:00 AM,C,18
10/7/14 11:01:00 AM,C,20
10/7/14 1:01:00 PM,C,22
10/7/14 3:01:00 PM,C,24
10/7/14 5:01:00 PM,C,24
10/7/14 7:01:00 PM,C,22.5
10/7/14 9:01:00 PM,C,21.5
10/7/14 11:01:00 PM,C,21
10/8/14 1:01:00 AM,C,20.5
10/8/14 3:01:00 AM,C,20
10/8/14 5:01:00 AM,C,20
10/8/14 7:01:00 AM,C,20
10/8/14 9:01:00 AM,C,19.5
10/8/14 11:01:00 AM,C,20.5
10/8/14 1:01:00 PM,C,21.5
10/8/14 3:01:00 PM,C,22.5
10/8/14 5:01:00 PM,C,23
10/8/14 7:01:00 PM,C,22.5
10/8/14 9:01:00 PM,C,21.5
10/8/14 11:01:00 PM,C,20.5
10/9/14 1:01:00 AM,C,20.5
10/9/14 3:01:00 AM,C,20
10/9/14 5:01:00 AM,C,20
10/9/14 7:01:00 AM,C,19.5
10/9/14 9:01:00 AM,C,19.5
10/9/14 11:01:00 AM,C,20.5
10/9/14 1:01:00 PM,C,21.5
10/9/14 3:01:00 PM,C,22.5
10/9/14 5:01:00 PM,C,23
10/9/14 7:01:00 PM,C,22.5
10/9/14 9:01:00 PM,C,21.5
10/9/14 11:01:00 PM,C,21.5
10/10/14 1:01:00 AM,C,21
10/10/14 3:01:00 AM,C,20.5
10/10/14 5:01:00 AM,C,20.5
10/10/14 7:01:00 AM,C,20
10/10/14 9:01:00 AM,C,19.5
10/10/14 11:01:00 AM,C,19
10/10/14 1:01:00 PM,C,19.5
10/10/14 3:01:00 PM,C,19.5
10/10/14 5:01:00 PM,C,19
10/10/14 7:01:00 PM,C,19
10/10/14 9:01:00 PM,C,19
10/10/14 11:01:00 PM,C,19
10/11/14 1:01:00 AM,C,18.5
10/11/14 3:01:00 AM,C,18.5
10/11/14 5:01:00 AM,C,18.5
10/11/14 7:01:00 AM,C,18
10/11/14 9:01:00 AM,C,18
10/11/14 11:01:00 AM,C,18
10/11/14 1:01:00 PM,C,18
10/11/14 3:01:00 PM,C,18
10/11/14 5:01:00 PM,C,18
10/11/14 7:01:00 PM,C,18
10/11/14 9:01:00 PM,C,17.5
10/11/14 11:01:00 PM,C,17.5
10/12/14 1:01:00 AM,C,17.5
10/12/14 3:01:00 AM,C,17.5
10/12/14 5:01:00 AM,C,17
10/12/14 7:01:00 AM,C,17
10/12/14 9:01:00 AM,C,17
10/12/14 11:01:00 AM,C,17
10/12/14 1:01:00 PM,C,17.5
10/12/14 3:01:00 PM,C,17.5
10/12/14 5:01:00 PM,C,18
10/12/14 7:01:00 PM,C,17.5
10/12/14 9:01:00 PM,C,17.5
10/12/14 11:01:00 PM,C,17.5
10/13/14 1:01:00 AM,C,17.5
10/13/14 3:01:00 AM,C,17.5
10/13/14 5:01:00 AM,C,17
10/13/14 7:01:00 AM,C,17.5
10/13/14 9:01:00 AM,C,17.5
10/13/14 11:01:00 AM,C,17.5
10/13/14 1:01:00 PM,C,17.5
10/13/14 3:01:00 PM,C,17.5
10/13/14 5:01:00 PM,C,17.5
10/13/14 7:01:00 PM,C,17
10/13/14 9:01:00 PM,C,17
10/13/14 11:01:00 PM,C,16.5
10/14/14 1:01:00 AM,C,16.5
10/14/14 3:01:00 AM,C,16
10/14/14 5:01:00 AM,C,16
10/14/14 7:01:00 AM,C,16
10/14/14 9:01:00 AM,C,15.5
10/14/14 11:01:00 AM,C,15.5
10/14/14 1:01:00 PM,C,16.5
10/14/14 3:01:00 PM,C,17
10/14/14 5:01:00 PM,C,16.5
10/14/14 7:01:00 PM,C,16
10/14/14 9:01:00 PM,C,15.5
10/14/14 11:01:00 PM,C,15.5
10/15/14 1:01:00 AM,C,15.5
10/15/14 3:01:00 AM,C,15
10/15/14 5:01:00 AM,C,15
10/15/14 7:01:00 AM,C,14.5
10/15/14 9:01:00 AM,C,14
10/15/14 11:01:00 AM,C,14.5
10/15/14 1:01:00 PM,C,16
10/15/14 3:01:00 PM,C,17
10/15/14 5:01:00 PM,C,16.5
10/15/14 7:01:00 PM,C,15.5
10/15/14 9:01:00 PM,C,15
10/15/14 11:01:00 PM,C,14
10/16/14 1:01:00 AM,C,14
10/16/14 3:01:00 AM,C,13.5
10/16/14 5:01:00 AM,C,13.5
10/16/14 7:01:00 AM,C,13
10/16/14 9:01:00 AM,C,13
10/16/14 11:01:00 AM,C,14
10/16/14 1:01:00 PM,C,16
10/16/14 3:01:00 PM,C,18
10/16/14 5:01:00 PM,C,18
10/16/14 7:01:00 PM,C,17
10/16/14 9:01:00 PM,C,16
10/16/14 11:01:00 PM,C,15.5
10/17/14 1:01:00 AM,C,15.5
10/17/14 3:01:00 AM,C,15
10/17/14 5:01:00 AM,C,15
10/17/14 7:01:00 AM,C,14.5
10/17/14 9:01:00 AM,C,14.5
10/17/14 11:01:00 AM,C,15
10/17/14 1:01:00 PM,C,17
10/17/14 3:01:00 PM,C,19.5
10/17/14 5:01:00 PM,C,19
10/17/14 7:01:00 PM,C,17.5
10/17/14 9:01:00 PM,C,16
10/17/14 11:01:00 PM,C,15.5
10/18/14 1:01:00 AM,C,15
10/18/14 3:01:00 AM,C,14.5
10/18/14 5:01:00 AM,C,14.5
10/18/14 7:01:00 AM,C,14
10/18/14 9:01:00 AM,C,14
10/18/14 11:01:00 AM,C,14.5
10/18/14 1:01:00 PM,C,17
10/18/14 3:01:00 PM,C,18.5
10/18/14 5:01:00 PM,C,18
10/18/14 7:01:00 PM,C,16.5
10/18/14 9:01:00 PM,C,15
10/18/14 11:01:00 PM,C,14
10/19/14 1:01:00 AM,C,13.5
10/19/14 3:01:00 AM,C,13.5
10/19/14 5:01:00 AM,C,13
10/19/14 7:01:00 AM,C,13
10/19/14 9:01:00 AM,C,13
10/19/14 11:01:00 AM,C,13.5
10/19/14 1:01:00 PM,C,16
10/19/14 3:01:00 PM,C,17
10/19/14 5:01:00 PM,C,17
10/19/14 7:01:00 PM,C,16
10/19/14 9:01:00 PM,C,15
10/19/14 11:01:00 PM,C,15
10/20/14 1:01:00 AM,C,14.5
10/20/14 3:01:00 AM,C,14.5
10/20/14 5:01:00 AM,C,14
10/20/14 7:01:00 AM,C,14
10/20/14 9:01:00 AM,C,14
10/20/14 11:01:00 AM,C,15
10/20/14 1:01:00 PM,C,16
10/20/14 3:01:00 PM,C,17
10/20/14 5:01:00 PM,C,17.5
10/20/14 7:01:00 PM,C,16.5
10/20/14 9:01:00 PM,C,16
10/20/14 11:01:00 PM,C,15.5
10/21/14 1:01:00 AM,C,15.5
10/21/14 3:01:00 AM,C,15.5
10/21/14 5:01:00 AM,C,15
10/21/14 7:01:00 AM,C,15
10/21/14 9:01:00 AM,C,15
10/21/14 11:01:00 AM,C,15.5
10/21/14 1:01:00 PM,C,18.5
10/21/14 3:01:00 PM,C,20
10/21/14 5:01:00 PM,C,19
10/21/14 7:01:00 PM,C,18
10/21/14 9:01:00 PM,C,17
10/21/14 11:01:00 PM,C,16.5
10/22/14 1:01:00 AM,C,16
10/22/14 3:01:00 AM,C,15.5
10/22/14 5:01:00 AM,C,15.5
10/22/14 7:01:00 AM,C,14.5
10/22/14 9:01:00 AM,C,14.5
10/22/14 11:01:00 AM,C,15
10/22/14 1:01:00 PM,C,17.5
10/22/14 3:01:00 PM,C,19
10/22/14 5:01:00 PM,C,18.5
10/22/14 7:01:00 PM,C,17.5
10/22/14 9:01:00 PM,C,16.5
10/22/14 11:01:00 PM,C,16
10/23/14 1:01:00 AM,C,15.5
10/23/14 3:01:00 AM,C,15
10/23/14 5:01:00 AM,C,15
10/23/14 7:01:00 AM,C,14.5
10/23/14 9:01:00 AM,C,14.5
10/23/14 11:01:00 AM,C,15
10/23/14 1:01:00 PM,C,16.5
10/23/14 3:01:00 PM,C,16.5
10/23/14 5:01:00 PM,C,16.5
10/23/14 7:01:00 PM,C,16
10/23/14 9:01:00 PM,C,15.5
10/23/14 11:01:00 PM,C,15
10/24/14 1:01:00 AM,C,14.5
10/24/14 3:01:00 AM,C,14
10/24/14 5:01:00 AM,C,14
10/24/14 7:01:00 AM,C,13.5
10/24/14 9:01:00 AM,C,13.5
10/24/14 11:01:00 AM,C,14.5
10/24/14 1:01:00 PM,C,16.5
10/24/14 3:01:00 PM,C,18
10/24/14 5:01:00 PM,C,18
10/24/14 7:01:00 PM,C,17.5
10/24/14 9:01:00 PM,C,17
10/24/14 11:01:00 PM,C,16.5
10/25/14 1:01:00 AM,C,16
10/25/14 3:01:00 AM,C,16
10/25/14 5:01:00 AM,C,15.5
10/25/14 7:01:00 AM,C,15
10/25/14 9:01:00 AM,C,15
10/25/14 11:01:00 AM,C,16
10/25/14 1:01:00 PM,C,18.5
10/25/14 3:01:00 PM,C,20
10/25/14 5:01:00 PM,C,20
10/25/14 7:01:00 PM,C,19
10/25/14 9:01:00 PM,C,18
10/25/14 11:01:00 PM,C,17.5
10/26/14 1:01:00 AM,C,17
10/26/14 3:01:00 AM,C,17
10/26/14 5:01:00 AM,C,16.5
10/26/14 7:01:00 AM,C,16
10/26/14 9:01:00 AM,C,16
10/26/14 11:01:00 AM,C,17
10/26/14 1:01:00 PM,C,19
10/26/14 3:01:00 PM,C,21
10/26/14 5:01:00 PM,C,20.5
10/26/14 7:01:00 PM,C,19.5
10/26/14 9:01:00 PM,C,19
10/26/14 11:01:00 PM,C,18
10/27/14 1:01:00 AM,C,17.5
10/27/14 3:01:00 AM,C,17
10/27/14 5:01:00 AM,C,17
10/27/14 7:01:00 AM,C,16.5
10/27/14 9:01:00 AM,C,16.5
10/27/14 11:01:00 AM,C,17.5
10/27/14 1:01:00 PM,C,19
10/27/14 3:01:00 PM,C,20
10/27/14 5:01:00 PM,C,20
10/27/14 7:01:00 PM,C,19.5
10/27/14 9:01:00 PM,C,18.5
10/27/14 11:01:00 PM,C,18
10/28/14 1:01:00 AM,C,18
10/28/14 3:01:00 AM,C,17.5
10/28/14 5:01:00 AM,C,17
10/28/14 7:01:00 AM,C,17
10/28/14 9:01:00 AM,C,16.5
10/28/14 11:01:00 AM,C,16
10/28/14 1:01:00 PM,C,18
10/28/14 3:01:00 PM,C,18.5
10/28/14 5:01:00 PM,C,18
10/28/14 7:01:00 PM,C,17
10/28/14 9:01:00 PM,C,16
10/28/14 11:01:00 PM,C,15
10/29/14 1:01:00 AM,C,14.5
10/29/14 3:01:00 AM,C,13.5
10/29/14 5:01:00 AM,C,13
10/29/14 7:01:00 AM,C,12.5
10/29/14 9:01:00 AM,C,12.5
10/29/14 11:01:00 AM,C,13
10/29/14 1:01:00 PM,C,16
10/29/14 3:01:00 PM,C,16.5
10/29/14 5:01:00 PM,C,16
10/29/14 7:01:00 PM,C,15
10/29/14 9:01:00 PM,C,14
10/29/14 11:01:00 PM,C,13
10/30/14 1:01:00 AM,C,12.5
10/30/14 3:01:00 AM,C,12.5
10/30/14 5:01:00 AM,C,12
10/30/14 7:01:00 AM,C,11.5
10/30/14 9:01:00 AM,C,11.5
10/30/14 11:01:00 AM,C,12.5
10/30/14 1:01:00 PM,C,14.5
10/30/14 3:01:00 PM,C,16
10/30/14 5:01:00 PM,C,16
10/30/14 7:01:00 PM,C,15
10/30/14 9:01:00 PM,C,14.5
10/30/14 11:01:00 PM,C,13.5
10/31/14 1:01:00 AM,C,13.5
10/31/14 3:01:00 AM,C,13
10/31/14 5:01:00 AM,C,12.5
10/31/14 7:01:00 AM,C,12
10/31/14 9:01:00 AM,C,11.5
10/31/14 11:01:00 AM,C,12
10/31/14 1:01:00 PM,C,13
10/31/14 3:01:00 PM,C,14
10/31/14 5:01:00 PM,C,13.5
10/31/14 7:01:00 PM,C,12
10/31/14 9:01:00 PM,C,11
10/31/14 11:01:00 PM,C,10
11/1/14 1:01:00 AM,C,9
11/1/14 3:01:00 AM,C,8
11/1/14 5:01:00 AM,C,7.5
11/1/14 7:01:00 AM,C,7
11/1/14 9:01:00 AM,C,6.5
11/1/14 11:01:00 AM,C,7.5
11/1/14 1:01:00 PM,C,10
11/1/14 3:01:00 PM,C,11
11/1/14 5:01:00 PM,C,11
11/1/14 7:01:00 PM,C,10.5
11/1/14 9:01:00 PM,C,9.5
11/1/14 11:01:00 PM,C,9.5
11/2/14 1:01:00 AM,C,9.5
11/2/14 2:01:00 AM,C,9
11/2/14 4:01:00 AM,C,9
11/2/14 6:01:00 AM,C,8.5
11/2/14 8:01:00 AM,C,8.5
11/2/14 10:01:00 AM,C,9
11/2/14 12:01:00 PM,C,11
11/2/14 2:01:00 PM,C,24.5
11/2/14 4:01:00 PM,C,23.5
11/2/14 6:01:00 PM,C,21
11/2/14 8:01:00 PM,C,20.5
11/2/14 10:01:00 PM,C,20
11/3/14 12:01:00 AM,C,19.5
11/3/14 2:01:00 AM,C,19
11/3/14 4:01:00 AM,C,18.5
11/3/14 6:01:00 AM,C,18.5
11/3/14 8:01:00 AM,C,19
11/3/14 10:01:00 AM,C,22.5
