1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 2100000032ACF421
Is Mission Active?  true
Mission Start:  Tue Jun 17 13:01:00 CDT 2014
Sample Rate:  Every 120 minute(s)
Number of Mission Samples:  1668
Total Samples:  3420
Roll Over Enabled?  true
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
6/17/14 1:01:00 PM,C,23.5
6/17/14 3:01:00 PM,C,22
6/17/14 5:01:00 PM,C,22
6/17/14 7:01:00 PM,C,21.5
6/17/14 9:01:00 PM,C,21.5
6/17/14 11:01:00 PM,C,21.5
6/18/14 1:01:00 AM,C,21.5
6/18/14 3:01:00 AM,C,21.5
6/18/14 5:01:00 AM,C,21.5
6/18/14 7:01:00 AM,C,21.5
6/18/14 9:01:00 AM,C,21.5
6/18/14 11:01:00 AM,C,22
6/18/14 1:01:00 PM,C,22
6/18/14 3:01:00 PM,C,22
6/18/14 5:01:00 PM,C,22
6/18/14 7:01:00 PM,C,21.5
6/18/14 9:01:00 PM,C,21.5
6/18/14 11:01:00 PM,C,21.5
6/19/14 1:01:00 AM,C,21.5
6/19/14 3:01:00 AM,C,21.5
6/19/14 5:01:00 AM,C,21.5
6/19/14 7:01:00 AM,C,21.5
6/19/14 9:01:00 AM,C,21.5
6/19/14 11:01:00 AM,C,22
6/19/14 1:01:00 PM,C,21.5
6/19/14 3:01:00 PM,C,21.5
6/19/14 5:01:00 PM,C,21.5
6/19/14 7:01:00 PM,C,21.5
6/19/14 9:01:00 PM,C,21.5
6/19/14 11:01:00 PM,C,21.5
6/20/14 1:01:00 AM,C,21.5
6/20/14 3:01:00 AM,C,21.5
6/20/14 5:01:00 AM,C,21.5
6/20/14 7:01:00 AM,C,21.5
6/20/14 9:01:00 AM,C,21.5
6/20/14 11:01:00 AM,C,21.5
6/20/14 1:01:00 PM,C,21.5
6/20/14 3:01:00 PM,C,21.5
6/20/14 5:01:00 PM,C,21.5
6/20/14 7:01:00 PM,C,21.5
6/20/14 9:01:00 PM,C,21.5
6/20/14 11:01:00 PM,C,21.5
6/21/14 1:01:00 AM,C,21.5
6/21/14 3:01:00 AM,C,21.5
6/21/14 5:01:00 AM,C,21.5
6/21/14 7:01:00 AM,C,21.5
6/21/14 9:01:00 AM,C,21.5
6/21/14 11:01:00 AM,C,21.5
6/21/14 1:01:00 PM,C,21.5
6/21/14 3:01:00 PM,C,21.5
6/21/14 5:01:00 PM,C,21.5
6/21/14 7:01:00 PM,C,21.5
6/21/14 9:01:00 PM,C,21.5
6/21/14 11:01:00 PM,C,21.5
6/22/14 1:01:00 AM,C,22
6/22/14 3:01:00 AM,C,21.5
6/22/14 5:01:00 AM,C,21.5
6/22/14 7:01:00 AM,C,21.5
6/22/14 9:01:00 AM,C,21.5
6/22/14 11:01:00 AM,C,21.5
6/22/14 1:01:00 PM,C,21.5
6/22/14 3:01:00 PM,C,21.5
6/22/14 5:01:00 PM,C,21.5
6/22/14 7:01:00 PM,C,21.5
6/22/14 9:01:00 PM,C,21.5
6/22/14 11:01:00 PM,C,21.5
6/23/14 1:01:00 AM,C,21.5
6/23/14 3:01:00 AM,C,21.5
6/23/14 5:01:00 AM,C,21.5
6/23/14 7:01:00 AM,C,21.5
6/23/14 9:01:00 AM,C,21.5
6/23/14 11:01:00 AM,C,21.5
6/23/14 1:01:00 PM,C,21.5
6/23/14 3:01:00 PM,C,21.5
6/23/14 5:01:00 PM,C,21.5
6/23/14 7:01:00 PM,C,21.5
6/23/14 9:01:00 PM,C,21.5
6/23/14 11:01:00 PM,C,21.5
6/24/14 1:01:00 AM,C,21.5
6/24/14 3:01:00 AM,C,21
6/24/14 5:01:00 AM,C,21
6/24/14 7:01:00 AM,C,21
6/24/14 9:01:00 AM,C,21
6/24/14 11:01:00 AM,C,21.5
6/24/14 1:01:00 PM,C,21.5
6/24/14 3:01:00 PM,C,21.5
6/24/14 5:01:00 PM,C,21.5
6/24/14 7:01:00 PM,C,21.5
6/24/14 9:01:00 PM,C,21.5
6/24/14 11:01:00 PM,C,21.5
6/25/14 1:01:00 AM,C,21.5
6/25/14 3:01:00 AM,C,21.5
6/25/14 5:01:00 AM,C,21.5
6/25/14 7:01:00 AM,C,21
6/25/14 9:01:00 AM,C,21
6/25/14 11:01:00 AM,C,21.5
6/25/14 1:01:00 PM,C,21.5
6/25/14 3:01:00 PM,C,21.5
6/25/14 5:01:00 PM,C,21.5
6/25/14 7:01:00 PM,C,21.5
6/25/14 9:01:00 PM,C,21.5
6/25/14 11:01:00 PM,C,21.5
6/26/14 1:01:00 AM,C,21.5
6/26/14 3:01:00 AM,C,21.5
6/26/14 5:01:00 AM,C,21.5
6/26/14 7:01:00 AM,C,21.5
6/26/14 9:01:00 AM,C,21.5
6/26/14 11:01:00 AM,C,21.5
6/26/14 1:01:00 PM,C,21.5
6/26/14 3:01:00 PM,C,21.5
6/26/14 5:01:00 PM,C,21.5
6/26/14 7:01:00 PM,C,21.5
6/26/14 9:01:00 PM,C,21.5
6/26/14 11:01:00 PM,C,21.5
6/27/14 1:01:00 AM,C,21.5
6/27/14 3:01:00 AM,C,21.5
6/27/14 5:01:00 AM,C,21.5
6/27/14 7:01:00 AM,C,21.5
6/27/14 9:01:00 AM,C,21.5
6/27/14 11:01:00 AM,C,21.5
6/27/14 1:01:00 PM,C,21.5
6/27/14 3:01:00 PM,C,21.5
6/27/14 5:01:00 PM,C,21.5
6/27/14 7:01:00 PM,C,21.5
6/27/14 9:01:00 PM,C,21.5
6/27/14 11:01:00 PM,C,21.5
6/28/14 1:01:00 AM,C,21.5
6/28/14 3:01:00 AM,C,21.5
6/28/14 5:01:00 AM,C,21.5
6/28/14 7:01:00 AM,C,21.5
6/28/14 9:01:00 AM,C,21.5
6/28/14 11:01:00 AM,C,21.5
6/28/14 1:01:00 PM,C,21.5
6/28/14 3:01:00 PM,C,21.5
6/28/14 5:01:00 PM,C,21.5
6/28/14 7:01:00 PM,C,21.5
6/28/14 9:01:00 PM,C,21.5
6/28/14 11:01:00 PM,C,21.5
6/29/14 1:01:00 AM,C,21.5
6/29/14 3:01:00 AM,C,21.5
6/29/14 5:01:00 AM,C,21
6/29/14 7:01:00 AM,C,21
6/29/14 9:01:00 AM,C,21
6/29/14 11:01:00 AM,C,21
6/29/14 1:01:00 PM,C,21
6/29/14 3:01:00 PM,C,21.5
6/29/14 5:01:00 PM,C,21.5
6/29/14 7:01:00 PM,C,21.5
6/29/14 9:01:00 PM,C,21.5
6/29/14 11:01:00 PM,C,21.5
6/30/14 1:01:00 AM,C,21.5
6/30/14 3:01:00 AM,C,21.5
6/30/14 5:01:00 AM,C,21.5
6/30/14 7:01:00 AM,C,21.5
6/30/14 9:01:00 AM,C,21.5
6/30/14 11:01:00 AM,C,21.5
6/30/14 1:01:00 PM,C,21.5
6/30/14 3:01:00 PM,C,21.5
6/30/14 5:01:00 PM,C,21.5
6/30/14 7:01:00 PM,C,21.5
6/30/14 9:01:00 PM,C,21.5
6/30/14 11:01:00 PM,C,21.5
7/1/14 1:01:00 AM,C,21.5
7/1/14 3:01:00 AM,C,21.5
7/1/14 5:01:00 AM,C,21.5
7/1/14 7:01:00 AM,C,21.5
7/1/14 9:01:00 AM,C,21.5
7/1/14 11:01:00 AM,C,21.5
7/1/14 1:01:00 PM,C,21.5
7/1/14 3:01:00 PM,C,21.5
7/1/14 5:01:00 PM,C,21.5
7/1/14 7:01:00 PM,C,21.5
7/1/14 9:01:00 PM,C,21.5
7/1/14 11:01:00 PM,C,21.5
7/2/14 1:01:00 AM,C,21.5
7/2/14 3:01:00 AM,C,21.5
7/2/14 5:01:00 AM,C,21.5
7/2/14 7:01:00 AM,C,21.5
7/2/14 9:01:00 AM,C,21.5
7/2/14 11:01:00 AM,C,21.5
7/2/14 1:01:00 PM,C,21.5
7/2/14 3:01:00 PM,C,21.5
7/2/14 5:01:00 PM,C,21.5
7/2/14 7:01:00 PM,C,21.5
7/2/14 9:01:00 PM,C,21.5
7/2/14 11:01:00 PM,C,21.5
7/3/14 1:01:00 AM,C,21.5
7/3/14 3:01:00 AM,C,21.5
7/3/14 5:01:00 AM,C,21
7/3/14 7:01:00 AM,C,21
7/3/14 9:01:00 AM,C,21
7/3/14 11:01:00 AM,C,21
7/3/14 1:01:00 PM,C,21.5
7/3/14 3:01:00 PM,C,21.5
7/3/14 5:01:00 PM,C,21.5
7/3/14 7:01:00 PM,C,21.5
7/3/14 9:01:00 PM,C,21.5
7/3/14 11:01:00 PM,C,21.5
7/4/14 1:01:00 AM,C,21.5
7/4/14 3:01:00 AM,C,21.5
7/4/14 5:01:00 AM,C,21
7/4/14 7:01:00 AM,C,21.5
7/4/14 9:01:00 AM,C,21.5
7/4/14 11:01:00 AM,C,21.5
7/4/14 1:01:00 PM,C,21.5
7/4/14 3:01:00 PM,C,21.5
7/4/14 5:01:00 PM,C,21.5
7/4/14 7:01:00 PM,C,21.5
7/4/14 9:01:00 PM,C,21.5
7/4/14 11:01:00 PM,C,21.5
7/5/14 1:01:00 AM,C,21.5
7/5/14 3:01:00 AM,C,21.5
7/5/14 5:01:00 AM,C,21.5
7/5/14 7:01:00 AM,C,21.5
7/5/14 9:01:00 AM,C,21.5
7/5/14 11:01:00 AM,C,21.5
7/5/14 1:01:00 PM,C,21.5
7/5/14 3:01:00 PM,C,21.5
7/5/14 5:01:00 PM,C,21.5
7/5/14 7:01:00 PM,C,21.5
7/5/14 9:01:00 PM,C,21.5
7/5/14 11:01:00 PM,C,21.5
7/6/14 1:01:00 AM,C,21.5
7/6/14 3:01:00 AM,C,21.5
7/6/14 5:01:00 AM,C,21.5
7/6/14 7:01:00 AM,C,21.5
7/6/14 9:01:00 AM,C,21.5
7/6/14 11:01:00 AM,C,21.5
7/6/14 1:01:00 PM,C,21.5
7/6/14 3:01:00 PM,C,21.5
7/6/14 5:01:00 PM,C,21.5
7/6/14 7:01:00 PM,C,21.5
7/6/14 9:01:00 PM,C,21.5
7/6/14 11:01:00 PM,C,22
7/7/14 1:01:00 AM,C,22
7/7/14 3:01:00 AM,C,21.5
7/7/14 5:01:00 AM,C,21.5
7/7/14 7:01:00 AM,C,21.5
7/7/14 9:01:00 AM,C,21.5
7/7/14 11:01:00 AM,C,21.5
7/7/14 1:01:00 PM,C,21.5
7/7/14 3:01:00 PM,C,21.5
7/7/14 5:01:00 PM,C,21.5
7/7/14 7:01:00 PM,C,21.5
7/7/14 9:01:00 PM,C,21.5
7/7/14 11:01:00 PM,C,21.5
7/8/14 1:01:00 AM,C,21.5
7/8/14 3:01:00 AM,C,21.5
7/8/14 5:01:00 AM,C,21.5
7/8/14 7:01:00 AM,C,21.5
7/8/14 9:01:00 AM,C,21.5
7/8/14 11:01:00 AM,C,21.5
7/8/14 1:01:00 PM,C,21.5
7/8/14 3:01:00 PM,C,21.5
7/8/14 5:01:00 PM,C,21.5
7/8/14 7:01:00 PM,C,21.5
7/8/14 9:01:00 PM,C,21.5
7/8/14 11:01:00 PM,C,21.5
7/9/14 1:01:00 AM,C,21.5
7/9/14 3:01:00 AM,C,21.5
7/9/14 5:01:00 AM,C,21.5
7/9/14 7:01:00 AM,C,21.5
7/9/14 9:01:00 AM,C,21.5
7/9/14 11:01:00 AM,C,21.5
7/9/14 1:01:00 PM,C,21.5
7/9/14 3:01:00 PM,C,21.5
7/9/14 5:01:00 PM,C,21.5
7/9/14 7:01:00 PM,C,21.5
7/9/14 9:01:00 PM,C,21.5
7/9/14 11:01:00 PM,C,21.5
7/10/14 1:01:00 AM,C,21.5
7/10/14 3:01:00 AM,C,21.5
7/10/14 5:01:00 AM,C,21.5
7/10/14 7:01:00 AM,C,21.5
7/10/14 9:01:00 AM,C,21.5
7/10/14 11:01:00 AM,C,21.5
7/10/14 1:01:00 PM,C,21.5
7/10/14 3:01:00 PM,C,21.5
7/10/14 5:01:00 PM,C,21.5
7/10/14 7:01:00 PM,C,21
7/10/14 9:01:00 PM,C,21
7/10/14 11:01:00 PM,C,21
7/11/14 1:01:00 AM,C,21
7/11/14 3:01:00 AM,C,21
7/11/14 5:01:00 AM,C,21
7/11/14 7:01:00 AM,C,21
7/11/14 9:01:00 AM,C,21
7/11/14 11:01:00 AM,C,21.5
7/11/14 1:01:00 PM,C,21.5
7/11/14 3:01:00 PM,C,22
7/11/14 5:01:00 PM,C,22
7/11/14 7:01:00 PM,C,22.5
7/11/14 9:01:00 PM,C,22.5
7/11/14 11:01:00 PM,C,23
7/12/14 1:01:00 AM,C,23
7/12/14 3:01:00 AM,C,23.5
7/12/14 5:01:00 AM,C,23.5
7/12/14 7:01:00 AM,C,23.5
7/12/14 9:01:00 AM,C,23.5
7/12/14 11:01:00 AM,C,24
7/12/14 1:01:00 PM,C,24
7/12/14 3:01:00 PM,C,24.5
7/12/14 5:01:00 PM,C,24.5
7/12/14 7:01:00 PM,C,25
7/12/14 9:01:00 PM,C,25
7/12/14 11:01:00 PM,C,25
7/13/14 1:01:00 AM,C,25.5
7/13/14 3:01:00 AM,C,25.5
7/13/14 5:01:00 AM,C,26
7/13/14 7:01:00 AM,C,26
7/13/14 9:01:00 AM,C,26
7/13/14 11:01:00 AM,C,26
7/13/14 1:01:00 PM,C,25
7/13/14 3:01:00 PM,C,24.5
7/13/14 5:01:00 PM,C,24
7/13/14 7:01:00 PM,C,23.5
7/13/14 9:01:00 PM,C,23
7/13/14 11:01:00 PM,C,22.5
7/14/14 1:01:00 AM,C,22
7/14/14 3:01:00 AM,C,22
7/14/14 5:01:00 AM,C,22
7/14/14 7:01:00 AM,C,21.5
7/14/14 9:01:00 AM,C,22
7/14/14 11:01:00 AM,C,22
7/14/14 1:01:00 PM,C,22
7/14/14 3:01:00 PM,C,22
7/14/14 5:01:00 PM,C,21.5
7/14/14 7:01:00 PM,C,21.5
7/14/14 9:01:00 PM,C,21.5
7/14/14 11:01:00 PM,C,21.5
7/15/14 1:01:00 AM,C,21.5
7/15/14 3:01:00 AM,C,21.5
7/15/14 5:01:00 AM,C,21.5
7/15/14 7:01:00 AM,C,21.5
7/15/14 9:01:00 AM,C,21.5
7/15/14 11:01:00 AM,C,21.5
7/15/14 1:01:00 PM,C,22
7/15/14 3:01:00 PM,C,22
7/15/14 5:01:00 PM,C,21.5
7/15/14 7:01:00 PM,C,21
7/15/14 9:01:00 PM,C,21
7/15/14 11:01:00 PM,C,21.5
7/16/14 1:01:00 AM,C,21.5
7/16/14 3:01:00 AM,C,21.5
7/16/14 5:01:00 AM,C,21
7/16/14 7:01:00 AM,C,21
7/16/14 9:01:00 AM,C,21
7/16/14 11:01:00 AM,C,21.5
7/16/14 1:01:00 PM,C,21.5
7/16/14 3:01:00 PM,C,21.5
7/16/14 5:01:00 PM,C,21.5
7/16/14 7:01:00 PM,C,21
7/16/14 9:01:00 PM,C,21
7/16/14 11:01:00 PM,C,21
7/17/14 1:01:00 AM,C,21
7/17/14 3:01:00 AM,C,21
7/17/14 5:01:00 AM,C,21
7/17/14 7:01:00 AM,C,21
7/17/14 9:01:00 AM,C,20.5
7/17/14 11:01:00 AM,C,21
7/17/14 1:01:00 PM,C,21.5
7/17/14 3:01:00 PM,C,21
7/17/14 5:01:00 PM,C,21
7/17/14 7:01:00 PM,C,21
7/17/14 9:01:00 PM,C,20.5
7/17/14 11:01:00 PM,C,20.5
7/18/14 1:01:00 AM,C,20.5
7/18/14 3:01:00 AM,C,20.5
7/18/14 5:01:00 AM,C,20
7/18/14 7:01:00 AM,C,20
7/18/14 9:01:00 AM,C,20
7/18/14 11:01:00 AM,C,20.5
7/18/14 1:01:00 PM,C,20.5
7/18/14 3:01:00 PM,C,21
7/18/14 5:01:00 PM,C,20.5
7/18/14 7:01:00 PM,C,20.5
7/18/14 9:01:00 PM,C,20.5
7/18/14 11:01:00 PM,C,20.5
7/19/14 1:01:00 AM,C,20.5
7/19/14 3:01:00 AM,C,20.5
7/19/14 5:01:00 AM,C,20.5
7/19/14 7:01:00 AM,C,20.5
7/19/14 9:01:00 AM,C,20.5
7/19/14 11:01:00 AM,C,20.5
7/19/14 1:01:00 PM,C,28
7/19/14 3:01:00 PM,C,24.5
7/19/14 5:01:00 PM,C,23.5
7/19/14 7:01:00 PM,C,23.5
7/19/14 9:01:00 PM,C,24.5
7/19/14 11:01:00 PM,C,24.5
7/20/14 1:01:00 AM,C,25
7/20/14 3:01:00 AM,C,25
7/20/14 5:01:00 AM,C,24.5
7/20/14 7:01:00 AM,C,24.5
7/20/14 9:01:00 AM,C,24
7/20/14 11:01:00 AM,C,24.5
7/20/14 1:01:00 PM,C,25
7/20/14 3:01:00 PM,C,25.5
7/20/14 5:01:00 PM,C,26
7/20/14 7:01:00 PM,C,28.5
7/20/14 9:01:00 PM,C,29
7/20/14 11:01:00 PM,C,28.5
7/21/14 1:01:00 AM,C,28
7/21/14 3:01:00 AM,C,27
7/21/14 5:01:00 AM,C,26.5
7/21/14 7:01:00 AM,C,26
7/21/14 9:01:00 AM,C,26
7/21/14 11:01:00 AM,C,26.5
7/21/14 1:01:00 PM,C,31
7/21/14 3:01:00 PM,C,30.5
